go-adapter-1  | [GIN] 2026/04/03 - 23:31:48 | 200 |   41.014076ms |      172.18.0.4 | GET      "/objects"
go-adapter-1  | [GIN] 2026/04/03 - 23:31:52 | 200 |    4.489553ms |      172.18.0.4 | GET      "/objects"
go-adapter-1  | [GIN] 2026/04/03 - 23:31:53 | 200 |    6.276433ms |      172.18.0.4 | GET      "/objects"
go-adapter-1  | [GIN] 2026/04/03 - 23:31:55 | 200 |    5.476287ms |      172.18.0.4 | GET      "/objects"
go-adapter-1  | [GIN] 2026/04/03 - 23:31:55 | 200 |      23.722µs |             ::1 | GET      "/health"
go-adapter-1  | [GIN] 2026/04/03 - 23:31:57 | 200 |    5.870202ms |      172.18.0.4 | GET      "/objects"
go-adapter-1  | [GIN] 2026/04/03 - 23:32:02 | 200 |    4.381455ms |      172.18.0.4 | GET      "/objects"
go-adapter-1  | [GIN] 2026/04/03 - 23:32:05 | 200 |    7.437678ms |      172.18.0.4 | GET      "/objects"
go-adapter-1  | [GIN] 2026/04/03 - 23:32:05 | 200 |      40.071µs |             ::1 | GET      "/health"
go-adapter-1  | [GIN] 2026/04/03 - 23:32:07 | 200 |    4.376696ms |      172.18.0.4 | GET      "/objects"
go-adapter-1  | [GIN] 2026/04/03 - 23:32:11 | 200 |   13.156882ms |      172.18.0.4 | GET      "/objects"
go-adapter-1  | [GIN] 2026/04/03 - 23:32:16 | 200 |    5.738361ms |      172.18.0.4 | GET      "/objects"
go-adapter-1  | [GIN] 2026/04/03 - 23:32:16 | 200 |      19.011µs |             ::1 | GET      "/health"
go-adapter-1  | [GIN] 2026/04/03 - 23:32:18 | 200 |    5.805981ms |      172.18.0.4 | GET      "/objects"
go-adapter-1  | [GIN] 2026/04/03 - 23:32:23 | 200 |    5.598306ms |      172.18.0.4 | GET      "/objects"
go-adapter-1  | [GIN] 2026/04/03 - 23:32:26 | 200 |    8.959404ms |      172.18.0.4 | GET      "/objects"
go-adapter-1  | [GIN] 2026/04/03 - 23:32:26 | 200 |      19.489µs |             ::1 | GET      "/health"
go-adapter-1  | [GIN] 2026/04/03 - 23:32:28 | 200 |    4.525294ms |      172.18.0.4 | GET      "/objects"
go-adapter-1  | [GIN] 2026/04/03 - 23:32:32 | 200 |    5.041781ms |      172.18.0.4 | GET      "/objects"
go-adapter-1  | [GIN] 2026/04/03 - 23:32:36 | 200 |    4.554168ms |      172.18.0.4 | GET      "/objects"
go-adapter-1  | [GIN] 2026/04/03 - 23:32:36 | 200 |       20.32µs |             ::1 | GET      "/health"
go-adapter-1  | [GIN] 2026/04/03 - 23:32:37 | 200 |    3.661868ms |      172.18.0.4 | GET      "/objects"
go-adapter-1  | [GIN] 2026/04/03 - 23:32:42 | 200 |    4.878429ms |      172.18.0.4 | GET      "/objects"
go-adapter-1  | [GIN] 2026/04/03 - 23:32:47 | 200 |    3.978191ms |      172.18.0.4 | GET      "/objects"
go-adapter-1  | [GIN] 2026/04/03 - 23:32:47 | 200 |      19.501µs |             ::1 | GET      "/health"
go-adapter-1  | [GIN] 2026/04/03 - 23:32:48 | 200 |    4.718624ms |      172.18.0.4 | GET      "/objects"
go-adapter-1  | [GIN] 2026/04/03 - 23:32:52 | 200 |    5.526235ms |      172.18.0.4 | GET      "/objects"
go-adapter-1  | [GIN] 2026/04/03 - 23:32:53 | 200 |     4.78508ms |      172.18.0.4 | GET      "/objects"
go-adapter-1  | [GIN] 2026/04/03 - 23:32:57 | 200 |   10.212341ms |      172.18.0.4 | GET      "/objects"
go-adapter-1  | [GIN] 2026/04/03 - 23:32:57 | 200 |       21.76µs |             ::1 | GET      "/health"
go-adapter-1  | [GIN] 2026/04/03 - 23:32:58 | 200 |    5.538654ms |      172.18.0.4 | GET      "/objects"
go-adapter-1  | [GIN] 2026/04/03 - 23:33:02 | 200 |     4.94922ms |      172.18.0.4 | GET      "/objects"
go-adapter-1  | [GIN] 2026/04/03 - 23:33:07 | 200 |    5.182004ms |      172.18.0.4 | GET      "/objects"
go-adapter-1  | [GIN] 2026/04/03 - 23:33:07 | 200 |      34.151µs |             ::1 | GET      "/health"
go-adapter-1  | [GIN] 2026/04/03 - 23:33:07 | 200 |    6.499461ms |      172.18.0.4 | GET      "/objects"
go-adapter-1  | [GIN] 2026/04/03 - 23:33:12 | 200 |    7.724031ms |      172.18.0.4 | GET      "/objects"
go-adapter-1  | [GIN] 2026/04/03 - 23:33:18 | 200 |    4.332621ms |      172.18.0.4 | GET      "/objects"
go-adapter-1  | [GIN] 2026/04/03 - 23:33:18 | 200 |      22.493µs |             ::1 | GET      "/health"
go-adapter-1  | [GIN] 2026/04/03 - 23:33:28 | 200 |    4.093557ms |      172.18.0.4 | GET      "/objects"
go-adapter-1  | [GIN] 2026/04/03 - 23:33:28 | 200 |      19.202µs |             ::1 | GET      "/health"
go-adapter-1  | [GIN] 2026/04/03 - 23:33:35 | 200 |    6.002672ms |      172.18.0.4 | GET      "/objects"
go-adapter-1  | [GIN] 2026/04/03 - 23:33:36 | 200 |     7.28589ms |      172.18.0.4 | GET      "/objects"
go-adapter-1  | [GIN] 2026/04/03 - 23:33:38 | 200 |    8.558857ms |      172.18.0.4 | GET      "/objects"
go-adapter-1  | [GIN] 2026/04/03 - 23:33:38 | 200 |      64.356µs |             ::1 | GET      "/health"
go-adapter-1  | [GIN] 2026/04/03 - 23:33:42 | 200 |    9.513219ms |      172.18.0.4 | GET      "/objects"
go-adapter-1  | [GIN] 2026/04/03 - 23:33:48 | 200 |    3.839188ms |      172.18.0.4 | GET      "/objects"
go-adapter-1  | [GIN] 2026/04/03 - 23:33:49 | 200 |    4.433743ms |      172.18.0.4 | GET      "/objects"
go-adapter-1  | [GIN] 2026/04/03 - 23:33:49 | 200 |      56.836µs |             ::1 | GET      "/health"
go-adapter-1  | [GIN] 2026/04/03 - 23:33:52 | 200 |    5.224589ms |      172.18.0.4 | GET      "/objects"
go-adapter-1  | [GIN] 2026/04/03 - 23:33:53 | 200 |    8.239564ms |      172.18.0.4 | GET      "/objects"
